true_EE_before,true_EE_after,true_Aero_Efficiency,true_Recovery_Efficiency,pred_EE_before_average,pred_EE_after_average,pred_Aero_Efficiency_average,pred_Recovery_Efficiency_average
57.75,44.79,39.43,50.84,67.79,68.94,54.76,57.22
51.77,41.52,38.24,47.68,67.78,68.89,54.31,56.89
47.72,42.54,53.11,59.57,67.85,68.87,53.75,56.44
52.85,38.73,40.39,55.12,68.11,68.88,54.59,56.65
55.89,39.54,30.63,43.3,68.1,68.82,54.13,56.32
54.63,45.98,44.73,53.15,68.2,68.84,53.59,55.86
51.84,51.13,56.6,57.39,68.38,68.89,54.74,56.49
49.8,55.01,53.07,48.05,68.35,68.8,54.24,56.15
57.61,53.31,49.69,53.71,68.44,68.76,53.72,55.67
58.73,43.31,41.08,55.72,68.51,68.87,54.82,56.43
58.68,55.64,41.68,43.96,68.49,68.75,54.29,56.09
51.3,50.05,57.5,58.93,68.57,68.72,53.77,55.58
52.9,48.78,49.43,53.61,66.17,69.05,54.93,56.05
58.77,42.95,39.2,53.63,66.14,68.95,54.11,55.67
52.41,45.44,65.03,75.01,65.93,69.01,53.7,55.09
53.53,45.42,52.02,61.31,65.68,69.52,54.91,55.77
56.19,50.54,45.22,50.28,65.81,69.31,54.01,55.36
58.69,45.02,47.24,61.59,65.56,69.42,53.55,54.76
52.78,13.7,9.92,38.21,65.5,69.98,54.74,55.58
100.0,59.33,24.9,45.02,65.66,69.62,53.97,55.25
59.8,49.73,58.03,69.79,65.45,69.73,53.48,54.67
52.19,51.63,50.94,51.49,65.57,70.27,54.56,55.84
52.03,27.97,29.18,54.27,65.85,69.92,53.99,55.47
50.41,50.17,51.32,51.57,65.7,70.04,53.44,54.93
53.73,52.97,67.49,68.46,67.65,68.97,54.75,57.24
53.48,35.91,33.01,49.16,67.64,68.94,54.31,56.92
53.24,40.79,46.55,60.76,67.73,68.92,53.74,56.49
48.62,48.85,70.84,70.5,67.84,68.99,54.53,56.75
56.68,35.11,30.32,48.96,67.82,68.95,54.07,56.41
46.64,45.86,52.12,53.01,67.93,68.93,53.52,55.94
52.68,50.11,58.74,61.75,68.17,68.97,54.66,56.49
46.23,83.19,100.0,100.0,68.18,68.92,54.2,56.16
52.25,52.67,57.35,56.89,68.3,68.89,53.67,55.69
49.14,51.1,74.42,71.56,68.39,68.99,54.74,56.44
52.59,56.96,73.01,67.41,68.39,68.92,54.23,56.13
54.99,45.31,46.17,56.04,68.5,68.89,53.68,55.63
46.56,44.87,76.95,79.84,67.96,68.83,54.76,56.68
53.06,52.05,56.94,58.04,67.94,68.8,54.35,56.38
55.18,50.49,46.46,50.78,68.01,68.78,53.83,55.95
51.51,45.88,67.3,75.55,68.0,68.85,54.82,56.6
54.76,53.18,51.4,52.93,67.99,68.79,54.4,56.28
49.0,48.09,68.79,70.09,68.05,68.77,53.86,55.82
48.94,49.38,73.76,73.1,68.03,68.9,54.84,56.49
50.27,8.55,8.74,51.35,68.02,68.82,54.4,56.16
47.56,43.4,60.81,66.63,68.1,68.78,53.89,55.69
52.44,43.89,45.42,54.27,66.82,69.92,55.3,56.22
40.47,46.02,70.78,62.24,66.91,69.68,54.73,55.91
53.32,41.17,40.69,52.69,66.74,69.76,54.33,55.34
42.5,44.71,62.41,59.32,68.27,68.6,54.7,57.0
58.56,49.39,44.09,52.28,68.22,68.52,54.33,56.7
52.09,48.16,50.94,55.09,68.22,68.41,53.86,56.21
59.39,49.53,75.17,90.12,66.54,69.9,55.13,55.79
56.2,50.72,40.46,44.82,66.64,69.7,54.58,55.46
46.47,41.69,47.85,53.33,66.49,69.83,54.19,54.9
50.45,53.24,72.91,69.08,66.47,69.35,55.18,56.68
51.95,45.37,35.94,41.16,66.43,69.17,54.55,56.46
45.06,44.13,54.74,55.9,66.28,69.22,54.1,55.92
50.08,53.85,76.11,70.79,66.91,70.01,55.25,56.14
46.47,57.66,63.29,51.01,67.02,69.74,54.69,55.83
50.39,48.83,47.72,49.25,66.84,69.85,54.29,55.26
52.47,51.17,49.49,50.76,68.24,68.66,54.72,56.9
47.02,50.1,51.33,48.18,68.2,68.59,54.33,56.6
48.34,49.28,41.43,40.64,68.2,68.48,53.86,56.11
49.46,45.77,58.37,63.07,66.61,70.04,55.04,55.78
47.83,31.95,47.84,71.6,66.76,69.82,54.53,55.42
53.55,49.69,42.59,45.89,66.6,69.98,54.13,54.87
51.95,30.56,37.43,63.64,66.59,69.38,55.29,56.55
43.88,45.02,46.29,45.11,66.55,69.2,54.63,56.34
43.61,47.29,47.0,43.34,66.41,69.24,54.18,55.8
54.21,38.18,44.61,63.34,65.24,70.46,54.26,58.08
47.19,55.91,69.93,59.02,65.4,70.46,54.01,57.74
54.39,40.7,40.23,53.76,65.44,70.5,53.23,57.29
43.71,37.13,58.45,68.8,64.81,71.03,53.88,58.94
48.62,53.13,90.74,83.04,64.92,71.01,53.25,58.53
56.84,15.35,19.72,73.03,64.86,71.05,52.55,58.19
45.42,43.83,69.43,71.94,64.62,71.42,53.9,59.27
42.49,62.03,100.0,100.0,64.75,71.33,53.27,58.89
47.73,19.91,23.26,55.76,64.64,71.43,52.7,58.52
48.28,56.52,100.0,100.0,68.38,67.99,55.18,55.2
42.55,43.08,73.19,72.28,68.38,67.99,55.18,55.2
57.75,44.79,39.43,50.84,67.79,68.94,54.76,57.22
51.77,41.52,38.24,47.68,67.78,68.89,54.31,56.89
47.72,42.54,53.11,59.57,67.85,68.87,53.75,56.44
52.44,43.89,45.42,54.27,66.82,69.92,55.3,56.22
40.47,46.02,70.78,62.24,66.91,69.68,54.73,55.91
