Data_Index,Norm_before_TrueValue,Norm_before_AbsError,Norm_after_TrueValue,Norm_after_AbsError
1,0.8,0.3,1.98,0.96
2,0.51,0.01,1.39,0.27
3,0.64,0.07,1.22,0.2
4,0.52,0.31,1.06,1.4
5,0.28,0.61,0.84,1.04
6,0.22,1.05,1.03,0.95
7,0.58,0.02,1.53,0.27
8,0.38,0.34,1.26,0.01
9,0.37,0.37,1.33,0.63
10,0.0,0.5,0.02,0.44
11,0.24,0.38,1.05,0.61
12,0.0,0.49,0.01,0.44
13,0.31,0.32,1.24,0.24
14,0.42,0.21,1.25,0.46
15,0.03,0.61,0.07,0.64
16,0.25,0.29,1.1,0.03
17,0.09,0.62,0.32,0.77
18,0.04,0.4,0.02,0.62
19,0.37,0.21,1.26,0.31
20,0.23,0.25,0.22,0.37
21,0.58,0.03,1.5,0.6
22,0.05,0.43,0.09,0.41
23,0.03,0.33,0.1,0.76
24,0.41,0.08,0.33,1.02
25,0.1,0.77,0.48,1.94
26,0.45,0.05,1.01,0.13
27,0.15,0.32,0.24,0.23
28,0.29,0.33,0.25,0.64
29,0.16,0.43,0.9,0.43
30,0.05,0.57,0.14,0.67
31,0.14,0.53,0.27,0.46
32,0.06,0.39,0.19,0.76
33,0.52,0.27,1.99,1.73
34,0.59,0.2,1.5,0.96
35,0.01,0.41,0.02,1.59
36,0.65,0.15,1.16,0.59
37,0.56,0.05,1.09,0.54
38,0.47,0.14,1.8,1.58
39,0.29,0.05,1.31,1.07
40,0.52,0.16,1.26,0.85
41,0.6,0.28,1.29,1.09
42,0.36,0.15,0.5,0.18
43,0.37,0.1,1.12,0.44
44,0.37,0.12,1.71,1.44
45,0.47,0.12,1.6,1.13
46,0.14,0.3,0.26,0.31
47,0.27,0.04,0.87,0.59
48,0.58,0.36,1.98,1.72
49,0.15,0.26,0.18,0.41
50,0.89,0.48,1.94,1.53
51,0.47,0.15,1.52,1.26
52,0.59,0.22,2.24,1.76
53,0.38,0.07,1.46,1.0
54,0.99,0.57,2.1,1.56
55,0.36,0.04,0.87,0.4
56,0.37,0.07,0.38,0.06
57,0.11,0.22,0.14,0.72
58,0.43,0.2,2.22,1.97
59,0.12,0.32,0.52,0.16
60,0.06,0.29,0.06,1.32
61,1.14,0.7,0.38,0.25
62,0.27,0.06,1.01,0.78
63,0.32,0.11,1.15,0.91
64,0.06,0.28,0.5,0.14
65,0.0,0.38,0.0,0.67
66,0.01,0.38,0.01,0.65
67,0.27,0.16,0.04,0.59
68,0.04,0.32,0.03,0.67
69,0.39,0.07,1.33,1.13
70,0.15,0.28,0.44,0.26
71,0.39,0.07,0.91,0.1
72,0.01,0.38,0.04,0.73
73,1.7,1.33,0.31,0.54
74,0.46,0.14,1.33,0.62
75,0.32,0.04,1.58,0.72
76,0.21,0.15,0.1,0.72
77,0.12,0.22,0.08,0.7
78,0.48,0.18,2.52,2.28
79,0.55,0.13,1.62,0.92
80,0.29,0.0,1.49,1.21
81,0.36,0.09,1.92,1.73
82,0.36,0.04,1.71,1.3
83,0.62,0.23,2.14,1.8
84,0.21,0.34,0.41,0.53
85,0.28,0.01,1.3,0.88
86,0.1,0.13,0.6,0.32
87,0.08,0.15,0.45,0.17
88,0.46,0.37,0.79,0.13
89,0.38,0.56,1.65,0.98
90,0.45,0.07,1.42,0.79
91,0.47,0.26,1.02,0.43
92,0.33,0.72,1.21,0.53
93,0.55,0.0,1.68,1.18
94,0.37,0.6,0.94,0.17
95,0.3,0.62,1.32,0.43
