Data_Index,EE_before_TrueValue,EE_before_AbsError,EE_after_TrueValue,EE_after_AbsError,Aero_Efficiency_TrueValue,Aero_Efficiency_AbsError,Recovery_TrueValue,Recovery_AbsError
1,92.84,13.21,99.45,15.22,42.46,9.18,39.64,18.63
2,91.43,2.38,99.38,10.06,44.01,11.19,40.49,21.16
3,94.0,14.89,91.54,7.81,12.16,38.83,12.49,45.54
4,90.44,2.31,98.13,8.81,27.75,25.71,25.57,36.01
5,85.76,5.38,94.49,10.3,87.7,26.45,79.6,11.28
6,79.43,3.71,94.58,13.27,94.24,41.33,79.15,20.85
7,87.05,11.38,93.22,13.61,60.32,7.6,56.33,3.2
8,72.66,7.25,92.49,9.27,82.29,15.07,82.08,7.04
9,76.44,3.85,91.03,7.49,89.24,25.06,74.94,3.51
10,24.22,56.15,33.52,46.11,82.68,29.91,59.74,1.33
11,79.5,2.03,92.71,8.19,100.0,27.68,90.03,12.22
12,41.6,40.36,45.75,41.18,59.67,1.63,54.25,7.71
13,80.04,1.01,90.09,5.51,99.84,36.88,88.71,20.32
14,74.2,5.89,82.29,3.45,50.29,1.03,45.35,12.28
15,6.09,75.6,47.97,38.76,100.0,45.34,55.24,5.78
16,87.25,5.41,93.66,9.25,95.88,22.33,89.32,11.73
17,67.41,8.73,84.76,2.88,95.92,41.36,76.29,17.86
18,27.42,51.29,42.16,41.32,88.71,30.3,57.7,5.44
19,87.17,6.05,96.06,12.42,100.0,34.0,90.86,19.37
20,38.96,39.8,31.28,51.51,47.34,13.15,58.97,5.87
21,80.46,0.07,90.25,6.74,93.81,25.66,83.62,8.6
22,35.46,38.23,43.1,36.93,85.42,36.39,70.28,17.51
23,27.51,51.17,41.87,40.54,98.45,33.9,64.68,5.72
24,58.8,15.64,67.6,11.72,66.83,12.74,58.13,3.02
25,79.76,5.78,84.65,2.74,88.12,13.71,83.03,4.43
26,81.29,5.07,90.97,10.86,47.02,6.39,42.02,17.8
27,46.52,32.28,51.32,32.06,53.54,6.22,48.53,14.06
28,35.85,42.53,60.74,22.36,96.72,40.21,57.07,5.08
29,96.1,10.09,95.38,8.04,86.82,10.06,87.47,9.19
30,43.61,34.79,56.45,25.91,91.08,32.76,70.36,6.69
31,56.73,16.69,68.53,11.07,80.1,32.87,66.31,14.54
32,18.23,60.28,45.13,37.06,100.0,36.64,68.59,0.89
33,89.01,4.7,91.84,1.16,83.74,23.04,81.16,11.08
34,86.26,4.94,86.9,1.85,44.87,8.5,44.54,15.51
35,35.25,45.05,24.64,57.65,32.47,22.53,46.45,16.66
36,93.57,5.83,93.83,14.41,53.62,9.65,53.48,10.46
37,86.12,3.04,92.21,5.23,56.97,11.31,53.21,14.69
38,83.21,1.92,93.15,5.64,95.13,29.87,84.98,12.45
39,78.55,1.55,92.65,8.16,87.67,30.87,74.33,12.39
40,88.81,10.36,94.66,13.41,49.59,4.58,46.53,14.82
41,91.62,6.3,97.87,10.97,99.06,30.41,92.73,16.43
42,89.84,5.58,86.63,4.08,57.51,9.7,59.63,9.09
43,86.0,1.81,92.78,4.86,95.28,18.47,88.31,6.85
44,68.37,17.98,86.57,1.13,100.0,33.1,96.28,24.08
45,86.12,3.58,95.26,10.36,99.96,30.46,90.37,12.3
46,77.2,7.34,86.92,4.73,66.38,1.31,58.96,9.97
47,70.34,10.52,87.21,2.54,100.0,41.96,93.29,31.29
48,66.1,20.6,92.66,5.54,100.0,29.37,86.25,10.59
49,71.64,12.61,82.09,0.64,94.67,32.44,82.62,15.97
50,82.93,3.74,84.56,3.19,71.04,16.04,69.67,8.9
51,92.3,0.29,94.99,2.66,62.43,2.24,60.67,5.5
52,77.64,6.29,86.51,0.34,100.0,24.17,95.53,13.94
53,75.91,8.04,57.28,27.84,53.44,18.08,70.82,6.83
54,88.98,7.32,78.29,6.81,29.61,24.13,33.65,26.33
55,74.0,11.12,88.74,1.67,100.0,21.43,100.0,18.95
56,82.6,3.91,90.44,10.86,62.84,10.42,57.39,1.98
57,78.22,4.43,83.37,1.68,83.13,15.0,78.0,4.08
58,77.33,8.83,87.69,0.15,94.51,26.73,83.34,10.35
59,84.94,1.65,90.22,10.18,73.66,1.47,69.35,8.31
60,74.3,3.27,77.1,1.11,70.11,14.42,67.55,4.01
61,90.67,9.23,63.76,21.32,18.41,35.3,26.19,33.97
62,60.23,20.43,92.12,7.53,100.0,41.13,90.46,27.75
63,74.08,12.4,88.78,1.82,100.0,28.46,88.43,11.87
64,83.25,6.72,88.67,1.86,94.64,13.86,88.84,3.6
65,0.0,80.96,0.0,85.51,0.0,61.5,39.91,23.73
66,0.0,88.59,0.0,82.35,0.0,80.33,41.61,39.55
67,9.41,80.53,0.0,90.68,0.0,84.77,41.47,43.03
68,0.0,86.21,0.0,87.57,0.0,74.63,43.34,33.37
69,86.74,6.38,98.59,5.32,72.33,11.21,63.64,3.61
70,31.14,47.61,13.06,68.49,63.95,7.28,100.0,38.18
71,90.2,7.34,95.08,12.25,52.48,5.34,49.79,10.45
72,0.0,83.79,0.0,85.3,0.0,73.75,41.11,36.16
73,36.76,48.44,31.7,55.75,24.94,56.55,28.92,53.19
74,85.16,2.72,93.64,11.85,61.8,1.12,56.2,8.8
75,88.65,11.36,85.85,5.98,41.92,7.57,43.29,8.17
76,0.0,91.18,0.0,90.83,0.0,88.07,49.77,38.94
77,0.0,89.63,0.0,82.48,0.0,83.24,52.55,32.04
78,73.71,12.97,93.22,5.33,100.0,30.06,82.58,9.28
79,82.96,5.26,91.19,12.66,65.1,15.08,59.22,6.67
80,64.59,16.7,85.75,0.44,100.0,39.17,88.14,24.87
81,78.18,8.69,85.32,2.0,98.12,24.33,89.91,12.68
82,70.8,13.28,87.86,2.69,100.0,26.66,81.82,4.3
83,83.28,4.06,89.76,8.35,71.39,14.92,66.24,4.4
84,91.39,8.18,93.68,4.77,36.72,7.33,35.82,11.28
85,66.86,18.55,89.04,1.71,100.0,19.16,83.75,1.11
86,57.16,34.36,88.19,2.54,100.0,13.3,97.35,9.71
87,57.02,32.99,88.71,6.35,100.0,18.21,93.24,9.7
88,92.89,15.72,94.05,10.89,42.0,12.16,41.49,14.99
89,90.4,12.99,90.41,6.77,50.0,2.43,49.99,4.72
90,90.98,16.68,91.03,12.35,46.17,1.26,46.15,4.04
91,90.19,12.61,95.54,11.69,52.66,1.95,49.71,6.96
92,84.83,11.93,92.92,12.54,58.59,14.05,53.49,6.72
93,84.61,7.12,84.4,1.85,53.98,3.81,54.11,5.37
94,94.83,14.44,88.66,2.62,44.33,8.98,47.42,9.65
95,93.5,14.64,82.35,4.05,41.61,6.99,47.25,6.61
