,ID,IL,IL_SMILE,mol%_IL,HL,HL_SMILE,mol%_HL,Chol,Chol_SMILE,mol%_Chol,PEG,PEG_SMILE,mol%_PEG,Fifth,Fifth_SMILE,mol%_Fifth,EE_before,EE_after,Aerosolization_Efficiency,mRNA_Recovery_Efficiency,cell_expression_before_1,cell_expression_before_2,cell_expression_after_1,cell_expression_after_2,AVG_before,AVG_after,Norm_before,Norm_after,备注,Unnamed: 29
294,4-F55,SM102,OCCN(CCCCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCCCCC(OCCCCCCCCCCC)=O,31.4757281553398,DOPE,CCCCCCCC/C=C/CCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C/CCCCCCCC,20.5922330097087,Cholesterol,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,40.3203883495146,DMPE-PEG,CCCCCCCCCCCCCC(OCC(OC(CCCCCCCCCCCCC)=O)COP(OCCNC(OCCO)=O)(O)=O)=O,4.69902912621359,L-Tyr-UC18,C(CCCCCC)CCCCCCCCCCCNC(=O)N[C@@H](C(=O)OCC)CC1=CC=C(O)C=C1,2.9126213592233,62.65224882657,82.0111454229227,73.0361940888257,55.7958528904997,4962,4925,2090,2302,4943.5,2196.0,0.110869394574834,0.43889277505746,,100
195,3-F52,ALC0315,OCCCCN(CCCCCCOC(C(CCCCCC)CCCCCCCC)=O)CCCCCCOC(C(CCCCCC)CCCCCCCC)=O,44.6428571428571,DOPE,CCCCCCCC/C=C/CCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C/CCCCCCCC,8.92857142857143,Cholesterol,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,34.375,DMPE-PEG,CCCCCCCCCCCCCC(OCC(OC(CCCCCCCCCCCCC)=O)COP(OCCNC(OCCO)=O)(O)=O)=O,1.33928571428571,L-Leu-UC18,C(CCCCCC)CCCCCCCCCCCNC(=O)N[C@@H](C(=O)OCC)CC(C)C,10.7142857142857,80.55339864,78.52850414,35.85133006,36.7757735,1106529,1151761,1538577,1685261,1129145.0,1611919.0,2.24298833358826,11.1672047331375,,100
72,2-F25,SM102,OCCN(CCCCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCCCCC(OCCCCCCCCCCC)=O,50.0,DOPC,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC,10.0,β-sitosterol,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,38.5,DMPE-PEG,CCCCCCCCCCCCCC(OCC(OC(CCCCCCCCCCCCC)=O)COP(OCCNC(OCCO)=O)(O)=O)=O,1.5,,,,79.53979861,87.87698707,42.70758123,38.65576783,1093479,1089,40817,36722,547284.0,38769.5,0.845486756151123,0.154474006634061,,100
2,1-F3,SM102,OCCN(CCCCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCCCCC(OCCCCCCCCCCC)=O,50.0,DSPC,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,5.0,Cholesterol,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,38.5,DSPE-PEG,CCCCCCCCCCCCCCCCCC(OCC(OC(CCCCCCCCCCCCCCCCC)=O)COP(OCCNC(OCCO)=O)(O)=O)=O,1.5,L-His-UC18,C(CCCCCC)CCCCCCCCCCCNC(=O)N[C@H](C(OCC)=O)CC1=CN=CN1,5.0,74.37583893,71.89027274,38.56928777,39.90279943,20252,18859,12554,8962,19555.5,10758.0,0.308797056594239,0.663705348880252,,100
73,2-F26,SM102,OCCN(CCCCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCCCCC(OCCCCCCCCCCC)=O,50.0,DOPC,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC,5.0,β-sitosterol,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,38.5,DMPE-PEG,CCCCCCCCCCCCCC(OCC(OC(CCCCCCCCCCCCC)=O)COP(OCCNC(OCCO)=O)(O)=O)=O,1.5,L-His-UC12,CCCCCCCCCCCCNC(=O)N[C@H](C(OCC)=O)CC1=CN=CN1,5.0,78.47693958,85.28037383,35.88298765,33.02034134,416931,299757,20933,15233,358344.0,18083.0,0.553597594934656,0.072050283391938,,100
215,3-F72,ALC0315,OCCCCN(CCCCCCOC(C(CCCCCC)CCCCCCCC)=O)CCCCCCOC(C(CCCCCC)CCCCCCCC)=O,42.3728813559322,DOPE,CCCCCCCC/C=C/CCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C/CCCCCCCC,8.47457627118644,Cholesterol,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,32.6271186440678,DMPE-PEG,CCCCCCCCCCCCCC(OCC(OC(CCCCCCCCCCCCC)=O)COP(OCCNC(OCCO)=O)(O)=O)=O,1.27118644067797,β-CD-UC18,[C@H]12OC3[C@H](O)[C@@H](O)[C@H](OC4[C@H](O)[C@@H](O)[C@H](OC5[C@H](O)[C@@H](O)[C@H](OC6[C@H](O)[C@@H](O)[C@H](OC7[C@H](O)[C@@H](O)[C@H](OC8[C@H](O)[C@@H](O)[C@H](OC([C@@H](O)[C@@H]1O)O[C@@H]2CNC(=O)NCCCCCCCCCCCCCCCCCC)CO8)CO7)CO6)CO5)CO4)CO3,15.2542372881356,64.0207248,65.6054028,48.6474402,47.47237648,202401,175286,251019,381505,188843.5,316262.0,0.375127877618884,2.19102976223466,,100
432,6-F4,SM102,OCCN(CCCCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCCCCC(OCCCCCCCCCCC)=O,48.5436893203884,DOPE,CCCCCCCC/C=C/CCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C/CCCCCCCC,9.70873786407767,Cholesterol,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,37.378640776699,DMG-PEG,CCCCCCCCCCCCCC(=O)OCC(COCCO)OC(=O)CCCCCCCCCCCCC,1.45631067961165,L-Arg-Uc18,C(CCCCCC)CCCCCCCCCCCNC(=O)N[C@@H](C(=O)OCC)CCCNC(=N)N,2.9126213592233,81.8642283910012,76.7625680568223,55.7955002008839,59.5036837258256,4579979,5075255,2229491,2355267,4827617.0,2292379.0,1.63034499155129,3.66167529089293,,100
202,3-F59,ALC0315,OCCCCN(CCCCCCOC(C(CCCCCC)CCCCCCCC)=O)CCCCCCOC(C(CCCCCC)CCCCCCCC)=O,43.4782608695652,DOPE,CCCCCCCC/C=C/CCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C/CCCCCCCC,8.69565217391304,Cholesterol,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,33.4782608695652,DMPE-PEG,CCCCCCCCCCCCCC(OCC(OC(CCCCCCCCCCCCC)=O)COP(OCCNC(OCCO)=O)(O)=O)=O,1.30434782608696,L-Phg-UC18,C(CCCCCC)CCCCCCCCCCCNC(=O)N[C@H](C(OCC)=O)C1=CC=CC=C1,13.0434782608696,68.54861034,89.28970293,32.28672388,24.78684531,794258,802820,851684,877453,798539.0,864568.5,1.58625655776294,5.98963933381367,,100
369,5-F34,ALC0315,OCCCCN(CCCCCCOC(C(CCCCCC)CCCCCCCC)=O)CCCCCCOC(C(CCCCCC)CCCCCCCC)=O,45.0581395348837,DOPC,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC,9.10852713178295,Cholesterol,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,41.3759689922481,DMPE-PEG,CCCCCCCCCCCCCC(OCC(OC(CCCCCCCCCCCCC)=O)COP(OCCNC(OCCO)=O)(O)=O)=O,1.55038759689923,DOPE-DC-Ome,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@]([H])(OC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)(OCCNC(=O)CCSSCC(C(=O)OC)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(CC(=O)OC)N)O,2.90697674418605,95.5481884915936,85.704552381977,74.0396530359356,82.543511721525,179567,82196,188817,73693,130881.5,131255.0,0.954983911098788,3.55208854850277,,100
506,6-F80,ALC0315,OCCCCN(CCCCCCOC(C(CCCCCC)CCCCCCCC)=O)CCCCCCOC(C(CCCCCC)CCCCCCCC)=O,45.0581395348837,DOPE,CCCCCCCC/C=C/CCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C/CCCCCCCC,9.10852713178295,β-sitosterol,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,41.3759689922481,DMG-PEG,CCCCCCCCCCCCCC(=O)OCC(COCCO)OC(=O)CCCCCCCCCCCCC,1.55038759689923,DC-DOPE,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@]([H])(OC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)(OCCNC(=O)CCSSCC(C(=O)O)NC(=O)C(CC(=O)O)N)O,2.90697674418605,91.0954411282388,83.5410330871424,59.7905245069962,65.1972330719461,1173090,1085928,544995,626451,1129509.0,585723.0,0.381448930406472,0.935590247689269,,100
